iter	Passed	Remaining
401	33424	49720
402	33533	49676
403	33621	49600
404	33703	49514
405	33789	49435
406	33862	49337
407	33927	49228
408	34022	49162
409	34093	49060
410	3415410	3413411	3420411	3422412	3427412	3428413	34368	48647
414	34430	48535
415	34514	48453
416	34583	48350
417	34669	48272
418	34740	48172
419	34824	48090
420	34934	48045
421	35024	47972
422	35112	47895
423	35186	47800
424	35276	47726
425	35363	47649
426	35481	47613
427	35543	47502
428	35610	47397
429	35661	47271
430	35755	47204
431	35811	432	35432	35885	46991
433	35974	46915
434	36071	46851
435	36139	436	36436	36212	46653
437	36287	46560
438	36356	439	36439	36403	440	36440	36468	441	36441	36548	442	36442	36638	46066
443	36724	45987
444	36819	45920
445	36902	45837
446	36994	45766
447	37059	45662
448	37112	449	37449	37194	450	37450	37262	451	37451	37344	452	37452	37426	453	37453	37511	454	37454	37596	45033
455	37689	456	37456	37749	457	37457	37817	458	37458	37892	459	37459	37984	460	38018	44450
461	38461	38120	462	38462	38205	463	38463	38296	464	38464	38396	465	38465	38461	466	38466	38560	467	38467	38632	468	38468	38718	469	38469	38785	470	38851	43635
471	38471	38954	472	39472	39043	473	39121	43413
474	39474	39238	475	39475	39344	43311
476	39416	43217
477	39509	43146
478	39581	43052
479	39629	42932
480	39708	42845
481	3979481	3978482	3988482	3986483	3996483	3995484	4003484	4005485	4010485	4016486	4019486	4022487	4030487	4029488	4037488	4040489	4042489	4051490	4053490	40593	42081
491	40665	41987
492	4076493	4079493	4083494	4088494	4091495	4094495	40999	41660
496	4108497	4111497	4116498	4120498	4121499	4128499	4129500	4136500	4136501	4144501	4146502	4155502	4152503	4164503	4162504	41734	40908
505	41826	40834
506	41911	40754
507	4197507	4195508	42071	40583
509	4215509	4213510	42267	40448
511	42389	40402
512	42466	40314
513	42544	40226
514	42659	40174
515	4273515	4275516	4282516	4285517	4294517	4292518	4300518	4303519	4306519	43136	39818
520	4321521	4324521	43304	39654
522	43387	39570
523	43466	39484
524	43552	39404
525	4361526	4368526	4370527	4378527	4377528	4383528	43889	39077
