iter	Logloss
0	0.6822192123
1	0.6714295615
2	0.6593285732
3	0.648779884
4	0.6371009342
5	0.6261527903
6	0.617445808
7	0.6079297606
8	0.5982178789
9	0.5862447847
10	0.5775112366
11	0.5679101725
12	0.5585766882
13	0.5503880884
14	0.5407509596
15	0.5318205741
16	0.5254827468
17	0.5161328431
18	0.5073818535
19	0.4987398071
20	0.4896971145
21	0.4823453893
22	0.4740239897
23	0.4666803052
24	0.459912759
25	0.4529706047
26	0.4463533685
27	0.4398612419
28	0.4332562653
29	0.4270049252
30	0.4202268679
31	0.4136751977
32	0.4073089454
33	0.4017147427
34	0.3952861353
35	0.3894239177
36	0.3829495727
37	0.376902911
38	0.3710645056
39	0.365441567
40	0.3599126533
41	0.3536039872
42	0.3488979033
43	0.3443784488
44	0.3391809108
45	0.3341480529
46	0.328278351
47	0.3238848845
48	0.3185884614
49	0.314368783
50	0.3094640983
51	0.3050175401
52	0.3005155991
53	0.295839882
54	0.291224328
55	0.2878427511
56	0.2833005477
57	0.2793360866
58	0.2753411298
59	0.2717097732
60	0.2680158903
61	0.264227711
62	0.2597508054
63	0.2569734556
64	0.2534871482
65	0.2501938138
66	0.2465263489
67	0.2430969905
68	0.2398422993
69	0.2367076572
70	0.2336128902
71	0.2308140198
72	0.2279819894
73	0.224748075
74	0.2224470034
75	0.2199509922
76	0.217090651
77	0.2145322513
78	0.2121892555
79	0.2091447053
80	0.2068872348
81	0.2038749059
82	082	0.201151183	83	0.1989021984	0.1962637236
85	0.1937616912
8686	0.1918400878787	0.1895370378888	0.1879041738989	0.1858796589090	0.1839931619191	0.18205307292	0.1795284874
93	0.1773574272
94	0.1755453073
95	0.1731399198
96	0.1709677403
97	0.1683336144
98	0.1664200705
99	0.1660958205
100	0.164109526
101	0.1622093231
102	0.1603761223
103	0.1586992517
104	0.1567762826
105	0.1548286856
106	0.1530340024
107	0.1512359638
108	0.1493910187
109	0.1479920881
110	0.1464983827
111	0.1451147307
112	0.1437010711
113	0.1421816243
114	0.1404654518
115	0.1389426926
116	0.1371931506
117	0.1360065952
118	0.1344841287
119	0.1331492141
120	0.131879517
121	0.1304728408
122	0.1290417183
123	0.1276574972
124	0.1264216613
125	0.1249601263
126	0.1239172371
127	0.122949652
128	0.1215644574
129	0.1202330312
130	0.1192319811
131	0.1181934778
132	0.1172076383
133	0.1162488821
134	0.1153452816
135	0.1143879758
136	0.1134060475
137	0.1122237901
138	0.1112908379
139	0.1100180534
140	0.1089958219
